"(Bay_id, Aisle_id, Level_id)",Occupancy,Pallet_id
"(2, 24, 7)",1,338
"(2, 24, 8)",1,394
"(2, 24, 9)",1,450
"(2, 24, 10)",1,506
"(3, 1, 1)",1,8398
"(3, 1, 2)",1,8454
"(3, 1, 3)",1,8510
"(3, 1, 4)",1,8566
"(3, 1, 5)",1,8622
"(3, 1, 6)",1,8678
"(3, 1, 7)",1,8734
"(3, 1, 8)",1,8790
"(3, 1, 9)",1,8846
"(3, 1, 10)",1,8902
"(3, 2, 1)",0,0
"(3, 2, 2)",0,0
"(3, 2, 3)",0,0
"(3, 2, 4)",0,0
"(3, 2, 5)",0,0
"(3, 2, 6)",0,0
"(3, 2, 7)",0,0
"(3, 2, 8)",0,0
"(3, 2, 9)",0,0
"(3, 2, 10)",0,0
"(3, 3, 1)",1,8958
"(3, 3, 2)",1,9014
"(3, 3, 3)",1,9070
"(3, 3, 4)",1,9126
"(3, 3, 5)",1,9182
"(3, 3, 6)",1,9238
"(3, 3, 7)",1,9294
"(3, 3, 8)",1,9350
"(3, 3, 9)",0,0
"(3, 3, 10)",0,0
"(3, 4, 1)",1,7838
"(3, 4, 2)",1,7894
"(3, 4, 3)",1,7950
"(3, 4, 4)",1,8006
"(3, 4, 5)",1,8062
"(3, 4, 6)",1,8118
"(3, 4, 7)",1,8174
"(3, 4, 8)",1,8230
"(3, 4, 9)",1,8286
"(3, 4, 10)",1,8342
"(3, 5, 1)",1,6831
"(3, 5, 2)",1,6887
"(3, 5, 3)",1,6943
"(3, 5, 4)",1,6999
"(3, 5, 5)",1,7055
"(3, 5, 6)",1,7111
"(3, 5, 7)",1,7167
"(3, 5, 8)",1,7223
"(3, 5, 9)",1,7279
"(3, 5, 10)",1,7335
"(3, 6, 1)",0,0
"(3, 6, 2)",0,0
"(3, 6, 3)",0,0
"(3, 6, 4)",0,0
"(3, 6, 5)",0,0
"(3, 6, 6)",0,0
"(3, 6, 7)",0,0
"(3, 6, 8)",0,0
"(3, 6, 9)",0,0
"(3, 6, 10)",0,0
"(3, 7, 1)",1,7391
"(3, 7, 2)",1,7447
"(3, 7, 3)",1,7503
"(3, 7, 4)",1,7559
"(3, 7, 5)",1,7615
"(3, 7, 6)",1,7671
"(3, 7, 7)",1,7727
"(3, 7, 8)",1,7783
"(3, 7, 9)",0,0
"(3, 7, 10)",0,0
"(3, 8, 1)",1,6271
"(3, 8, 2)",1,6327
"(3, 8, 3)",1,6383
"(3, 8, 4)",1,6439
"(3, 8, 5)",1,6495
"(3, 8, 6)",1,6551
"(3, 8, 7)",1,6607
"(3, 8, 8)",1,6663
"(3, 8, 9)",1,6719
"(3, 8, 10)",1,6775
"(3, 9, 1)",1,5264
"(3, 9, 2)",1,5320
"(3, 9, 3)",1,5376
"(3, 9, 4)",1,5432
"(3, 9, 5)",1,5488
"(3, 9, 6)",1,5544
"(3, 9, 7)",1,5600
"(3, 9, 8)",1,5656
"(3, 9, 9)",1,5712
"(3, 9, 10)",1,5768
"(3, 10, 1)",0,0
"(3, 10, 2)",0,0
"(3, 10, 3)",0,0
"(3, 10, 4)",0,0
"(3, 10, 5)",0,0
"(3, 10, 6)",0,0
"(3, 10, 7)",0,0
"(3, 10, 8)",0,0
"(3, 10, 9)",0,0
"(3, 10, 10)",0,0
"(3, 11, 1)",1,5824
"(3, 11, 2)",1,5880
"(3, 11, 3)",1,5936
"(3, 11, 4)",1,5992
"(3, 11, 5)",1,6048
"(3, 11, 6)",1,6104
"(3, 11, 7)",1,6160
"(3, 11, 8)",1,6216
"(3, 11, 9)",0,0
"(3, 11, 10)",0,0
"(3, 12, 1)",1,4704
"(3, 12, 2)",1,4760
"(3, 12, 3)",1,4816
"(3, 12, 4)",1,4872
"(3, 12, 5)",1,4928
"(3, 12, 6)",1,4984
"(3, 12, 7)",1,5040
"(3, 12, 8)",1,5096
"(3, 12, 9)",1,5152
"(3, 12, 10)",1,5208
"(3, 13, 1)",1,3697
"(3, 13, 2)",1,3753
"(3, 13, 3)",1,3809
"(3, 13, 4)",1,3865
"(3, 13, 5)",1,3921
"(3, 13, 6)",1,3977
"(3, 13, 7)",1,4033
"(3, 13, 8)",1,4089
"(3, 13, 9)",1,4145
"(3, 13, 10)",1,4201
"(3, 14, 1)",0,0
"(3, 14, 2)",0,0
"(3, 14, 3)",0,0
"(3, 14, 4)",0,0
"(3, 14, 5)",0,0
"(3, 14, 6)",0,0
"(3, 14, 7)",0,0
"(3, 14, 8)",0,0
"(3, 14, 9)",0,0
"(3, 14, 10)",0,0
"(3, 15, 1)",1,4257
"(3, 15, 2)",1,4313
"(3, 15, 3)",1,4369
"(3, 15, 4)",1,4425
"(3, 15, 5)",1,4481
"(3, 15, 6)",1,4537
"(3, 15, 7)",1,4593
"(3, 15, 8)",1,4649
"(3, 15, 9)",0,0
"(3, 15, 10)",0,0
"(3, 16, 1)",1,3137
"(3, 16, 2)",1,3193
"(3, 16, 3)",1,3249
"(3, 16, 4)",1,3305
"(3, 16, 5)",1,3361
"(3, 16, 6)",1,3417
"(3, 16, 7)",1,3473
"(3, 16, 8)",1,3529
"(3, 16, 9)",1,3585
"(3, 16, 10)",1,3641
"(3, 17, 1)",1,2130
"(3, 17, 2)",1,2186
"(3, 17, 3)",1,2242
"(3, 17, 4)",1,2298
"(3, 17, 5)",1,2354
"(3, 17, 6)",1,2410
"(3, 17, 7)",1,2466
"(3, 17, 8)",1,2522
"(3, 17, 9)",1,2578
"(3, 17, 10)",1,2634
"(3, 18, 1)",0,0
"(3, 18, 2)",0,0
"(3, 18, 3)",0,0
"(3, 18, 4)",0,0
"(3, 18, 5)",0,0
"(3, 18, 6)",0,0
"(3, 18, 7)",0,0
"(3, 18, 8)",0,0
"(3, 18, 9)",0,0
"(3, 18, 10)",0,0
"(3, 19, 1)",1,2690
"(3, 19, 2)",1,2746
"(3, 19, 3)",1,2802
"(3, 19, 4)",1,2858
"(3, 19, 5)",1,2914
"(3, 19, 6)",1,2970
"(3, 19, 7)",1,3026
"(3, 19, 8)",1,3082
"(3, 19, 9)",0,0
"(3, 19, 10)",0,0
"(3, 20, 1)",1,1570
"(3, 20, 2)",1,1626
"(3, 20, 3)",1,1682
"(3, 20, 4)",1,1738
"(3, 20, 5)",1,1794
"(3, 20, 6)",1,1850
"(3, 20, 7)",1,1906
"(3, 20, 8)",1,1962
"(3, 20, 9)",1,2018
"(3, 20, 10)",1,2074
"(3, 21, 1)",1,563
"(3, 21, 2)",1,619
"(3, 21, 3)",1,675
"(3, 21, 4)",1,731
"(3, 21, 5)",1,787
"(3, 21, 6)",1,843
"(3, 21, 7)",1,899
"(3, 21, 8)",1,955
"(3, 21, 9)",1,1011
"(3, 21, 10)",1,1067
"(3, 22, 1)",0,0
"(3, 22, 2)",0,0
"(3, 22, 3)",0,0
"(3, 22, 4)",0,0
"(3, 22, 5)",0,0
"(3, 22, 6)",0,0
